BUSINESS_DATE,STORE_KEY,PREDICTED_SALES
2024-01-01,2104,3368.474437432098
2024-01-02,2104,3403.3539938366557
2024-01-03,2104,3490.3815734676073
2024-01-04,2104,4203.040540576056
2024-01-05,2104,4752.740000339711
2024-01-06,2104,4693.595194907437
2024-01-07,2104,4690.881972755584
2024-01-08,2104,3368.474437432098
2024-01-09,2104,3403.3539938366557
2024-01-10,2104,3490.3815734676073
2024-01-11,2104,4065.5105971929697
2024-01-12,2104,4550.350696368695
2024-01-13,2104,4491.205890936421
2024-01-14,2104,4488.492668784567
2024-01-15,2104,3368.474437432098
2024-01-16,2104,3403.3539938366557
2024-01-17,2104,3490.3815734676073
2024-01-18,2104,4065.5105971929697
2024-01-19,2104,4550.350696368695
2024-01-20,2104,4491.205890936421
2024-01-21,2104,4488.492668784567
2024-01-22,2104,3368.474437432098
2024-01-23,2104,3403.3539938366557
2024-01-24,2104,3490.3815734676073
2024-01-25,2104,4065.5105971929697
2024-01-26,2104,4550.350696368695
2024-01-27,2104,4491.205890936421
2024-01-28,2104,4488.492668784567
2024-01-29,2104,3368.474437432098
2024-01-30,2104,3403.3539938366557
2024-01-31,2104,3490.3815734676073
2024-02-01,2104,4376.76885207051
2024-02-02,2104,4861.608951246231
2024-02-03,2104,4802.464145813958
2024-02-04,2104,4833.875456834941
2024-02-05,2104,3580.6169000874484
2024-02-06,2104,3587.110551096498
2024-02-07,2104,3620.546844516128
2024-02-08,2104,4376.76885207051
2024-02-09,2104,4861.608951246231
2024-02-10,2104,4802.464145813958
2024-02-11,2104,4833.875456834941
2024-02-12,2104,3580.6169000874484
2024-02-13,2104,3587.110551096498
2024-02-14,2104,3620.546844516128
2024-02-15,2104,4082.094511768453
2024-02-16,2104,4719.026475858111
2024-02-17,2104,4659.881670425837
2024-02-18,2104,4691.292981446821
2024-02-19,2104,3428.5250351735126
2024-02-20,2104,3435.0186861825623
2024-02-21,2104,3468.4549796021925
2024-02-22,2104,4082.094511768453
2024-02-23,2104,4719.026475858111
2024-02-24,2104,4659.881670425837
2024-02-25,2104,4691.292981446821
2024-02-26,2104,3428.5250351735126
2024-02-27,2104,3435.0186861825623
2024-02-28,2104,3468.4549796021925
2024-02-29,2104,4082.094511768453
2024-03-01,2104,4719.026475858111
2024-03-02,2104,4659.881670425837
2024-03-03,2104,4781.3425195505515
2024-03-04,2104,3061.31271279165
2024-03-05,2104,3067.8063638006997
2024-03-06,2104,3070.831570343054
2024-03-07,2104,3684.471102509313
2024-03-08,2104,4719.026475858111
2024-03-09,2104,4659.881670425837
2024-03-10,2104,4781.3425195505515
2024-03-11,2104,3061.31271279165
2024-03-12,2104,3067.8063638006997
2024-03-13,2104,3070.831570343054
2024-03-14,2104,3684.471102509313
2024-03-15,2104,4719.026475858111
2024-03-16,2104,4659.881670425837
2024-03-17,2104,4781.3425195505515
2024-03-18,2104,3061.31271279165
2024-03-19,2104,3067.8063638006997
2024-03-20,2104,3070.831570343054
2024-03-21,2104,3684.471102509313
2024-03-22,2104,4719.026475858111
2024-03-23,2104,4659.881670425837
2024-03-24,2104,4781.3425195505515
2024-03-25,2104,3061.31271279165
2024-03-26,2104,3067.8063638006997
2024-03-27,2104,3070.831570343054
2024-03-28,2104,3684.471102509313
2024-03-29,2104,4719.026475858111
2024-03-30,2104,4659.881670425837
2024-01-01,1859,3448.2902412087387
2024-01-02,1859,3483.1697976132964
2024-01-03,1859,3570.197377244248
2024-01-04,1859,4089.3989143682256
2024-01-05,1859,4588.688351732457
2024-01-06,1859,4518.665394580749
2024-01-07,1859,4515.952172428896
2024-01-08,1859,3448.2902412087387
2024-01-09,1859,3483.1697976132964
2024-01-10,1859,3570.197377244248
2024-01-11,1859,4089.3989143682256
2024-01-12,1859,4588.688351732457
2024-01-13,1859,4518.665394580749
2024-01-14,1859,4515.952172428896
2024-01-15,1859,3448.2902412087387
2024-01-16,1859,3483.1697976132964
2024-01-17,1859,3570.197377244248
2024-01-18,1859,4089.3989143682256
2024-01-19,1859,4588.688351732457
2024-01-20,1859,4518.665394580749
2024-01-21,1859,4515.952172428896
2024-01-22,1859,3296.198376294803
2024-01-23,1859,3331.0779326993606
2024-01-24,1859,3418.105512330312
2024-01-25,1859,3937.3070494542885
2024-01-26,1859,4588.688351732457
2024-01-27,1859,4518.665394580749
2024-01-28,1859,4515.952172428896
2024-01-29,1859,3296.198376294803
2024-01-30,1859,3331.0779326993606
2024-01-31,1859,3418.105512330312
2024-02-01,1859,4285.54723703094
2024-02-02,1859,4936.928539309105
2024-02-03,1859,4866.9055821573975
2024-02-04,1859,4898.316893178381
2024-02-05,1859,3508.3408389501533
2024-02-06,1859,3514.834489959203
2024-02-07,1859,3168.8953682912734
2024-02-08,1859,4266.824953300287
2024-02-09,1859,5381.498058789265
2024-02-10,1859,5311.475101637558
2024-02-11,1859,5342.886412658541
2024-02-12,1859,3128.9654238625935
2024-02-13,1859,3135.459074871643
2024-02-14,1859,3168.8953682912734
2024-02-15,1859,4266.824953300287
2024-02-16,1859,5381.498058789265
2024-02-17,1859,5311.475101637558
2024-02-18,1859,5342.886412658541
2024-02-19,1859,3128.9654238625935
2024-02-20,1859,3135.459074871643
2024-02-21,1859,3168.8953682912734
2024-02-22,1859,4266.824953300287
2024-02-23,1859,5381.498058789265
2024-02-24,1859,5311.475101637558
2024-02-25,1859,5342.886412658541
2024-02-26,1859,3128.9654238625935
2024-02-27,1859,3135.459074871643
2024-02-28,1859,3168.8953682912734
2024-02-29,1859,4266.824953300287
2024-03-01,1859,5381.498058789265
